Nazwa,X,Y,Szkola,Praca,Zakupy,Rozrywka,Restauracje,Spotkania,Zdrowie,Kultura,Osiedle
Kamień - Diamentowa,,,0,1,0,0,0,0,0,0,
Kamień - Skrzy.,,,0,1,0,1,1,1,1,0,
Kamień - Skrzy. Diamentowa,,,0,0,0,1,1,1,0,0,
Kamień - Skrzy. Kryształowa,,,0,1,0,0,0,0,0,0,
Kamień - Skrzy. Rubinowa,,,0,1,0,1,1,0,0,0,
Kamieńskiego,51.140140242908146,17.03236611042412,0,0,1,1,1,1,0,0,
Kamieńskiego (Szpital),,,1,0,0,1,1,0,0,0,
Karwiany - Skrzy. (Wrocławska/Majowa),,,0,0,0,0,0,0,0,0,
Karwińska,,,0,1,1,1,0,0,0,0,
Karłowicza,51.1171125414428,17.086195917380074,0,0,0,0,0,0,0,0,
Kasprowicza,51.13793170102513,17.053687278383467,0,0,0,0,0,0,0,0,
Katedra,51.11387011620038,17.050503508469227,0,1,1,1,0,0,0,0,
Kiełczowska,51.14562852466403,17.136421437701294,0,1,1,1,0,0,0,1,
Kiełczowska (Cmentarz),,,1,1,1,1,0,0,0,0,
Kiełczów - Akacjowa,,,0,1,1,0,0,1,0,0,
Kiełczów - Biedronka,,,0,0,0,1,1,1,0,0,
Kiełczów - Boczna,,,0,0,0,1,1,1,0,0,
Kiełczów - Mleczna,,,0,0,0,1,0,0,0,0,
Kiełczów - Rzeczna,,,1,1,0,1,0,0,0,0,
Kiełczów - Sosnowa,,,0,1,0,0,0,0,0,0,
Kiełczów - Wodrol,,,0,0,1,1,0,0,0,0,
Kiełczów - Wrocławska,,,0,1,1,1,0,0,0,1,
Kiełczów - Zgodna,,,0,1,1,1,1,0,0,0,
Kiełczów - Cmentarz,,,0,0,0,0,0,0,0,0,
Kiełczów - Osiedle,,,0,0,0,0,0,0,0,1,
Kiełczów - Pętla (Plac Jana Gdaka),51.1395712334801,17.179011937155103,0,0,0,0,0,0,0,0,
Kiełczów - Pętla/Wrocławska,51.13942655458532,17.180034397026994,0,0,1,1,1,1,0,0,
Kiełczów - Ładna,,,1,0,1,1,1,1,0,0,
Kiełczówek,,,0,0,0,0,0,0,0,0,
Kiełczówek - Sielska Zagroda,,,0,1,0,0,0,0,0,0,
Kiełczówek - Pętla,,,0,1,0,0,0,0,0,0,
Kiełczówek - Skrzy. Imbirowa,,,0,1,0,0,0,0,0,0,
Klasztorna,,,1,1,1,1,1,1,0,0,
Kleczkowska,,,0,1,1,1,1,0,0,0,
Klimasa,51.08010766314827,17.062597838571428,0,1,1,1,1,0,1,0,
Kliniki - Politechnika Wrocławska,51.10949913417336,17.065624876082154,0,1,1,1,1,0,0,0,
Klęka,,,0,1,1,0,0,0,0,0,
Kmieca,,,0,1,1,0,0,0,0,0,
Kochanowskiego,,,0,1,1,1,1,0,0,0,
Kolbuszowska (Stadion),,,1,1,1,1,1,1,0,1,
Kolejowa,,,0,1,0,0,0,0,0,0,
Kolista,51.13296740780925,16.972784262779598,0,1,0,0,0,0,0,0,
Kolumba,,,0,1,0,0,1,1,0,0,
Komandorska,51.09222209106024,17.024009641375606,0,1,0,0,1,1,0,0,
Kominiarska,,,0,0,0,0,0,0,0,0,
Kominiarska (Plac Sportowy),,,1,0,0,1,0,1,0,0,
Komorowice,,,0,0,0,0,0,0,0,0,
Komuny Paryskiej,51.10194956465197,17.04636195972426,0,0,1,1,1,1,0,0,
Komuny Paryskiej (Szkoła),,,1,0,1,1,1,1,0,0,
Konduktorska,,,0,0,1,1,1,1,0,0,
Konopackiej,,,0,0,0,0,0,0,0,0,
Kopańskiego,,,0,1,0,1,0,0,0,0,
Kosmonautów (Szpital),51.14186071042686,16.905444430373958,1,1,0,1,0,0,0,0,
Koszarowa,,,1,1,0,1,0,1,0,0,
Kowale (Stacja Kolejowa),,,1,1,0,1,0,1,0,0,
Kowalska,,,1,1,1,0,0,1,0,0,
Kowalska 56,,,1,1,1,0,0,1,0,0,
Kowalska I,,,1,1,1,1,1,1,0,0,
Kowieńska,,,0,1,0,1,1,0,0,0,
Kozanowska,,,0,1,0,0,0,0,0,0,
Kozia,,,0,1,0,0,0,0,0,0,
Kołobrzeska,,,0,1,0,0,1,1,0,0,
Końcowa,,,0,1,1,0,0,0,0,1,
Kościelna,,,0,1,1,0,0,0,0,0,
Kościuszki,51.10014731114,17.045339713410495,0,1,0,0,1,1,0,0,
Kośnego (Jarnołtowska),,,0,1,0,0,1,1,0,0,
Kośnego (Jerzmanowska),,,0,1,0,0,0,0,0,0,
Krajobrazowa,,,0,1,0,0,0,0,0,0,
Krakowiany - Skrzy.,,,0,1,0,1,1,0,0,0,
Krakowska,,,0,1,0,1,1,0,0,0,
Krasińskiego,51.103443866848735,17.042268050675087,0,0,0,0,0,0,0,1,
Kromera (Czajkowskiego),,,0,1,0,0,0,0,0,0,
Krucza,,,0,1,0,0,0,0,0,0,
Krucza (Mielecka),,,0,1,0,0,0,0,0,0,
Krynicka,,,0,1,0,0,0,0,0,0,
Krzemieniecka,,,1,1,0,1,1,1,1,0,
Krzeptowska,,,1,1,0,1,1,1,0,0,
Krzeptów - Boisko,,,1,1,0,0,1,1,0,0,
Krzeptów - Dolina Krzeptowa,,,1,1,0,0,0,0,0,1,
Krzeptów - Pętla,51.09014060590896,16.880574238514203,0,0,1,0,0,0,0,0,
Krzeptów - Skrzy.,,,0,0,0,1,1,0,0,0,
Królewiecka,51.14572647815362,16.945251211760596,0,0,0,0,0,0,0,0,
Królewiecka (Park),,,0,1,1,0,1,1,0,0,
Królewiecka (Staw),,,0,1,1,0,1,1,0,0,
Królewska,,,0,1,1,1,1,1,0,0,
Krępice,,,0,1,1,1,1,1,0,0,
Krępice - Wrocławska,,,0,1,1,0,1,1,0,0,
Krępicka,,,0,0,0,1,1,0,0,0,
